우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|130|0|3611011200107360001000001||세종성당|3611011200|고운동||고운동|0|1405|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|19|0|3611011200202350000000018||세종스마트큐브Ⅰ|3611011200|고운동||고운동|0|1717|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|78|0|3611011200202350000000019||세종스마트큐브Ⅱ|3611011200|고운동||고운동|0|1718|01|0||
30101|세종특별자치시|Sejong-si|||||361103000189|세종로|Sejong-ro|0|1219|0|3611011200201670000000003||세종중앙타워|3611011200|고운동||고운동|1|167|11|0||
30062|세종특별자치시|Sejong-si|||||361103000231|정안세종로|Jeongansejong-ro|0|1482|56|3611011200108190000000001||세종특별자치시생활자원회수센터|3611011200|고운동||고운동|0|819|02|0||
30063|세종특별자치시|Sejong-si|||||361104853201|고운서1길|Gounseo 1-gil|0|4|0|3611011200115220000000001||소연빌딩|3611011200|고운동||고운동|0|1522|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|19|0|3611011200202390000000002||스마트빌|3611011200|고운동||고운동|0|1811|01|0||
30101|세종특별자치시|Sejong-si|||||361103000189|세종로|Sejong-ro|0|1229|0|3611011200201670000000005||스타플레이스|3611011200|고운동||고운동|1|167|11|0||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|264|0|3611011200200740000000001||슬기유치원|3611011200|고운동||고운동|0|836|01|0||
30101|세종특별자치시|Sejong-si|||||361103000189|세종로|Sejong-ro|0|1215|0|3611011200201670000000006||아성프라자|3611011200|고운동||고운동|1|167|11|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|227|0|3611011200106980003000001||아주빌딩|3611011200|고운동||고운동|0|1041|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|70|0|3611011200202350000000010||에셀프라자|3611011200|고운동||고운동|0|1720|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|13|0|3611011200202350000000009||에이스프라자|3611011200|고운동||고운동|0|1722|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|140|0|3611011200201670000000002||에이스프라자|3611011200|고운동||고운동|1|167|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|16|0|3611011200117150000000001||에이스프라자2|3611011200|고운동||고운동|0|1715|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|16|0|3611011200202390000000003||영호빌딩|3611011200|고운동||고운동|0|1911|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|240|0|3611011200201050000000003||오음빌딩|3611011200|고운동||고운동|0|1156|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|170|0|3611011200101710000000002||온빛유치원|3611011200|고운동||고운동|0|1398|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|174|0|3611011200101710000000001||온빛초등학교|3611011200|고운동||고운동|0|1398|01|0||
30063|세종특별자치시|Sejong-si|||||361104853202|고운서2길|Gounseo 2-gil|0|8|0|3611011200202350000000016||원빌딩|3611011200|고운동||고운동|0|1525|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|130|0|3611011200202320000000008||으뜸유치원|3611011200|고운동||고운동|0|1413|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|132|0|3611011200202320000000007||으뜸초등학교|3611011200|고운동||고운동|0|1413|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|167|0|3611011200200990000000001||이경빌딩|3611011200|고운동||고운동|0|1221|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|152|0|3611011200107040002000001||자동크린넷2차|3611011200|고운동||고운동|0|820|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|69|0|3611011200202050000000001||진웅캐슬|3611011200|고운동||고운동|0|1641|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|20|0|3611011200117160000000001||참샘빌딩|3611011200|고운동||고운동|0|1716|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|11|3611011200201000000000003||테라스힐빌딩|3611011200|고운동||고운동|0|1376|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|5|3611011200113740000000001||티앤스타빌딩|3611011200|고운동||고운동|0|1374|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|14|0|3611011200202350000000015||금화빌딩|3611011200|고운동||고운동|0|1714|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|159|0|3611011200107010001000002||나림빌딩|3611011200|고운동||고운동|0|1360|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|96|0|3611011200202350000000017||다산근생|3611011200|고운동||고운동|0|1532|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|51|0|3611011200117900000000001||단독주택|3611011200|고운동||고운동|0|1790|01|0||
30063|세종특별자치시|Sejong-si|||||361104574741|만남로4길|Mannam-ro 4-gil|0|64|0|3611011200119600000000001||단독주택|3611011200|고운동||고운동|0|1960|01|0||
30063|세종특별자치시|Sejong-si|||||361104853204|고운서4길|Gounseo 4-gil|0|40|0|3611011200116830000000001||단독주택|3611011200|고운동||고운동|0|1683|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|56|0|3611011200118290000000001||단독주택|3611011200|고운동||고운동|0|1829|01|0||
30101|세종특별자치시|Sejong-si|||||361104855136|고운뜰7길|Gountteul 7-gil|0|9|0|3611011200201670000000007||대영상가2|3611011200|고운동||고운동|1|167|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|10|0|3611011200202350000000012||대현빌딩|3611011200|고운동||고운동|0|1713|01|0||
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|53|0|3611011200107250000000001||두루고등학교|3611011200|고운동||고운동|0|898|01|0||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|223|0|3611011200200790000000001||두루유치원|3611011200|고운동||고운동|1|79|01|0||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|211|0|3611011200104940001000001||두루중학교|3611011200|고운동||고운동|0|494|01|1||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|227|0|3611011200200790000000002||두루초등학교|3611011200|고운동||고운동|0|1384|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|73|0|3611011200202150000000001||두리빌딩|3611011200|고운동||고운동|0|1639|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|100|0|3611011200115300000000001||디아브|3611011200|고운동||고운동|0|1530|01|0||
